ID,Nom,Nom latin,Taille,Origine,Type,Facade,Image
7422,Homard américain,Homarus americanus,9 cm,Sauvage,Crustacé,Outremer,https://www.mrgoodfish.com/wp-content/uploads/2019/08/Homarus-americanus_Copyright-James-Ellsworth-De-Kay-rawpixel-e1576163506381.png
1463,Huître creuse d'élevage,Crassostrea gigas,,Élevage,Mollusque,,https://www.mrgoodfish.com/wp-content/uploads/2017/12/Huitre-creuse-crassostrea-gigas-jpg.png
1464,Huître plate d'élevage,Ostrea edulis,,Élevage,Mollusque,,https://www.mrgoodfish.com/wp-content/uploads/2017/12/huitre-plate-e1513862548286-1.png
267,Kombu royal,Laminaria saccharina,,Sauvage,Algue,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Kombu-Julie-Turban.png
270,Laitue de mer,Ulva lactuca,,Sauvage,Algue,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Laitue-de-me.png
273,Langoustine,Nephrops norvegicus,9 cm,Sauvage,Crustacé,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/langoustin.png
276,Légine,Dissostichus eleginoides,60 cm,Sauvage,Poisson,Outremer,https://www.mrgoodfish.com/wp-content/uploads/2017/11/legine-e1521655603606.png
283,Limande,Limanda limanda,23 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Limand-e1513867811266.png
7423,Limande à queue jaune,Limanda ferruginea,"36,8 cm",Sauvage,Poisson,Outremer,https://www.mrgoodfish.com/wp-content/uploads/2019/08/Limande-ferruginea_Pecheurs-du-nord.png
286,Limande sole,Microstomus kitt,20 cm,Sauvage,Poisson,Manche/Mer du Nord,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Limande-sol-e1513867787412.png
289,Lingue bleue,Molva dypterygia,90 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Linque-bleue-Molva-dypterygia-1-e1521801353584.png
290,Lingue franche,Molva molva,90 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Lingue-franche-Molva-molva-F-Lamiot-Wikimedia-Commons-e1513876506118.png
300,Maquereau espagnol,Scomber japonicus,26 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Maquereau-espagnol-Creative-common.png
303,Marbré,Lithognathus mormyrus,24 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Marbre.png
309,Merlan bleu,Micromesistius poutassou,36 cm,Sauvage,Poisson,Méditerranée,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Merlan-bleu-Micromesistius-poutassou-etrusko25-wikipedia-common-site-web-e1529655577778.png
312,Merlu,Merluccius merluccius,50 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2017/11/merlu-site-web-e1547132097594.png
8087,Mostelle,Phycis blennoides,33 cm,Sauvage,Poisson,Bretagne/Atlantique,https://www.mrgoodfish.com/wp-content/uploads/2019/12/Mostelle-light.png
6883,Moule d'élevage,Mytilus edulis,,Élevage,Mollusque,,https://www.mrgoodfish.com/wp-content/uploads/2017/11/Moul-e1513873562350-1.png
1465,Moule Mediterranéenne d'élevage,Mytilus galloprovincialis,,Élevage,Mollusque,,https://www.mrgoodfish.com/wp-content/uploads/2017/12/moule-de-mediterannee-light-wikimedia-commons.png
